pretrained	model
encoder.conv1.weight	conv1.weight
encoder.bn1.weight	bn1.weight
encoder.bn1.bias	bn1.bias
encoder.layer1.0.conv1.weight	layer1.0.conv1.weight
encoder.layer1.0.bn1.weight	layer1.0.bn1.weight
encoder.layer1.0.bn1.bias	layer1.0.bn1.bias
encoder.layer1.0.conv2.weight	layer1.0.conv2.weight
encoder.layer1.0.bn2.weight	layer1.0.bn2.weight
encoder.layer1.0.bn2.bias	layer1.0.bn2.bias
encoder.layer1.1.conv1.weight	layer1.1.conv1.weight
encoder.layer1.1.bn1.weight	layer1.1.bn1.weight
encoder.layer1.1.bn1.bias	layer1.1.bn1.bias
encoder.layer1.1.conv2.weight	layer1.1.conv2.weight
encoder.layer1.1.bn2.weight	layer1.1.bn2.weight
encoder.layer1.1.bn2.bias	layer1.1.bn2.bias
encoder.layer2.0.conv1.weight	layer2.0.conv1.weight
encoder.layer2.0.bn1.weight	layer2.0.bn1.weight
encoder.layer2.0.bn1.bias	layer2.0.bn1.bias
encoder.layer2.0.conv2.weight	layer2.0.conv2.weight
encoder.layer2.0.bn2.weight	layer2.0.bn2.weight
encoder.layer2.0.bn2.bias	layer2.0.bn2.bias
encoder.layer2.0.shortcut.0.weight	layer2.0.shortcut.0.weight
encoder.layer2.0.shortcut.1.weight	layer2.0.shortcut.1.weight
encoder.layer2.0.shortcut.1.bias	layer2.0.shortcut.1.bias
encoder.layer2.1.conv1.weight	layer2.1.conv1.weight
encoder.layer2.1.bn1.weight	layer2.1.bn1.weight
encoder.layer2.1.bn1.bias	layer2.1.bn1.bias
encoder.layer2.1.conv2.weight	layer2.1.conv2.weight
encoder.layer2.1.bn2.weight	layer2.1.bn2.weight
encoder.layer2.1.bn2.bias	layer2.1.bn2.bias
encoder.layer3.0.conv1.weight	layer3.0.conv1.weight
encoder.layer3.0.bn1.weight	layer3.0.bn1.weight
encoder.layer3.0.bn1.bias	layer3.0.bn1.bias
encoder.layer3.0.conv2.weight	layer3.0.conv2.weight
encoder.layer3.0.bn2.weight	layer3.0.bn2.weight
encoder.layer3.0.bn2.bias	layer3.0.bn2.bias
encoder.layer3.0.shortcut.0.weight	layer3.0.shortcut.0.weight
encoder.layer3.0.shortcut.1.weight	layer3.0.shortcut.1.weight
encoder.layer3.0.shortcut.1.bias	layer3.0.shortcut.1.bias
encoder.layer3.1.conv1.weight	layer3.1.conv1.weight
encoder.layer3.1.bn1.weight	layer3.1.bn1.weight
encoder.layer3.1.bn1.bias	layer3.1.bn1.bias
encoder.layer3.1.conv2.weight	layer3.1.conv2.weight
encoder.layer3.1.bn2.weight	layer3.1.bn2.weight
encoder.layer3.1.bn2.bias	layer3.1.bn2.bias
